Entity,Code,Year,Electricity generation - TWh
France,FRA,1985,344.46542
France,FRA,1986,362.9955
France,FRA,1987,378.48633
France,FRA,1988,392.08722
France,FRA,1989,404.85004
France,FRA,1990,416.04
France,FRA,1991,450.34
France,FRA,1992,458.54
France,FRA,1993,468.07
France,FRA,1994,472.84
France,FRA,1995,489.41
France,FRA,1996,507.79
France,FRA,1997,499.31
France,FRA,1998,505.93
France,FRA,1999,519.54
France,FRA,2000,532.56
France,FRA,2001,542.6
France,FRA,2002,551.24
France,FRA,2003,559.13
France,FRA,2004,566.3
France,FRA,2005,569.14
France,FRA,2006,567.3
France,FRA,2007,561.84
France,FRA,2008,566.98
France,FRA,2009,528.87
France,FRA,2010,562.36
France,FRA,2011,567.42
France,FRA,2012,567.58
France,FRA,2013,576.74
France,FRA,2014,566.27
France,FRA,2015,574.11
France,FRA,2016,558.8
France,FRA,2017,556.42
France,FRA,2018,575.93
France,FRA,2019,565.73
France,FRA,2020,527.22
France,FRA,2021,550.12
France,FRA,2022,469.35
France,FRA,2023,514.11